[5, 1, 0.05, 0.027256783001490394, False, 2, 1, 1263.4055616725002, 1263.3371798212702]
[5, 1, 0.05, 0.027256783001490394, False, 4, 2, 25761.93750254358, 1199.725227714625]
[5, 1, 0.05, 0.027256783001490394, False, 6, 3, 25655.260283128642, 1107.2180782023047]
[5, 1, 0.05, 0.027256783001490394, False, 8, 4, 25550.12586276518, 1027.9717560646327]
[6, 1, 0.05, 0.024881924824899426, False, 2, 1, 1488.2963242875373, 1488.196023462358]
[6, 1, 0.05, 0.024881924824899426, False, 4, 2, 25744.3558219254, 1443.8706751270306]
[6, 1, 0.05, 0.024881924824899426, False, 6, 3, 25629.286782716084, 1335.7687200758935]
[6, 1, 0.05, 0.024881924824899426, False, 8, 4, 25516.012312001527, 1240.8974349825937]
[7, 1, 0.05, 0.023036186123921516, False, 2, 1, 1704.1488202077705, 1704.010175791095]
[7, 1, 0.05, 0.023036186123921516, False, 4, 2, 25726.231089714245, 1687.6534375404915]
[7, 1, 0.05, 0.023036186123921516, False, 6, 3, 25602.542656441234, 1565.5433064970791]
[7, 1, 0.05, 0.023036186123921516, False, 8, 4, 25480.927094818828, 1455.325305065126]
[8, 1, 0.05, 0.021548378993417577, False, 2, 1, 1908.8075003790784, 1908.6242478883582]
[8, 1, 0.05, 0.021548378993417577, False, 4, 2, 1930.6156518863963, 1930.070884119931]
[8, 1, 0.05, 0.021548378993417577, False, 6, 3, 25574.797631984788, 1796.2355846074379]
[8, 1, 0.05, 0.021548378993417577, False, 8, 4, 25444.572033625842, 1671.0561278893908]
[9, 1, 0.05, 0.020316006546431092, False, 2, 1, 2099.69041985489, 2099.4566954642055]
[9, 1, 0.05, 0.020316006546431092, False, 4, 2, 2165.7476613977024, 2165.0668992110836]
[9, 1, 0.05, 0.020316006546431092, False, 6, 3, 25545.852817284023, 2027.613899782526]
[9, 1, 0.05, 0.020316006546431092, False, 8, 4, 25406.6915636277, 1888.0051434100974]
[10, 1, 0.05, 0.019273456093684076, False, 2, 1, 2280.355330247228, 2280.0655511310338]
[10, 1, 0.05, 0.019273456093684076, False, 4, 2, 2397.8786521548923, 2397.0397062825677]
[10, 1, 0.05, 0.019273456093684076, False, 6, 3, 25515.52357683696, 2259.4591327044036]
[10, 1, 0.05, 0.019273456093684076, False, 8, 4, 25367.05022341386, 2105.998172307109]
[11, 1, 0.05, 0.01837651935079526, False, 2, 1, 2451.4616396530005, 2451.110578647691]
[11, 1, 0.05, 0.01837651935079526, False, 4, 2, 2626.758473425037, 2625.740396011016]
[11, 1, 0.05, 0.01837651935079526, False, 6, 3, 25483.629472739696, 2491.573908132056]
[11, 1, 0.05, 0.01837651935079526, False, 8, 4, 25325.419532346965, 2324.8840977031678]
[12, 1, 0.05, 0.017594177772660285, False, 2, 1, 2614.888777857012, 2614.4714442753066]
[12, 1, 0.05, 0.017594177772660285, False, 4, 2, 2852.1850810187516, 2850.96705108869]
[12, 1, 0.05, 0.017594177772660285, False, 6, 3, 25449.98766016946, 2723.81761757485]
[12, 1, 0.05, 0.017594177772660285, False, 8, 4, 25281.569479925438, 2544.5495838147745]
[13, 1, 0.05, 0.01690393922672755, False, 2, 1, 2770.315894715531, 2769.8277024949625]
[13, 1, 0.05, 0.01690393922672755, False, 4, 2, 3070.5631957107685, 3069.124497937412]
[13, 1, 0.05, 0.01690393922672755, False, 6, 3, 2957.6817893281623, 2956.0408056906253]
[13, 1, 0.05, 0.01690393922672755, False, 8, 4, 25235.26241195865, 2764.891513396447]
[14, 1, 0.05, 0.016289043420900352, False, 2, 1, 2918.150777521116, 2917.587499332416]
[14, 1, 0.05, 0.016289043420900352, False, 4, 2, 3284.120431238384, 3282.440536675654]
[14, 1, 0.05, 0.016289043420900352, False, 6, 3, 3190.0659543375477, 3188.1060435094114]
[14, 1, 0.05, 0.016289043420900352, False, 8, 4, 25186.248185998287, 2985.814927540361]
